,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
0,2010-01-04,3592.47,3535.23,3597.75,3535.23,66101080,93419838921.0,1.75,-1.13,-40.45,0.22,2010-01-04,,,,,,,62.51999999999998,,,62.51999999999998,
1,2010-01-05,3545.19,3564.04,3577.53,3497.66,85809641,128302442618.0,2.26,0.81,28.81,0.28,2010-01-05,,,,,,,79.87000000000035,42.30000000000018,37.570000000000164,79.87000000000035,
2,2010-01-06,3558.7,3541.73,3588.83,3541.17,78473125,121045989916.0,1.34,-0.63,-22.31,0.26,2010-01-06,,,,,,,47.659999999999854,24.789999999999964,22.86999999999989,47.659999999999854,
3,2010-01-07,3543.16,3471.46,3558.56,3452.77,80350037,120436166283.0,2.99,-1.98,-70.27,0.26,2010-01-07,,,,,,,105.78999999999996,16.829999999999927,88.96000000000004,105.78999999999996,
4,2010-01-08,3456.91,3480.13,3482.08,3426.7,60790253,90190959969.0,1.6,0.25,8.67,0.2,2010-01-08,,,,,,,55.38000000000011,10.61999999999989,44.76000000000022,55.38000000000011,
5,2010-01-11,3593.11,3482.05,3594.53,3465.32,89980172,134114001104.0,3.71,0.06,1.92,0.29,2010-01-11,,,,,,,129.21000000000004,114.40000000000009,14.809999999999945,129.21000000000004,
6,2010-01-12,3477.84,3534.92,3535.41,3437.66,93743278,134071416354.0,2.81,1.52,52.87,0.31,2010-01-12,,,,,,,97.75,53.35999999999967,44.39000000000033,97.75,
7,2010-01-13,3448.29,3421.14,3490.11,3415.69,112457901,159860384574.0,2.11,-3.22,-113.78,0.37,2010-01-13,,,,,,,74.42000000000007,44.809999999999945,119.23000000000002,119.23000000000002,
8,2010-01-14,3433.47,3469.05,3470.32,3411.81,83353252,118107870086.0,1.71,1.4,47.91,0.27,2010-01-14,,,,,,,58.51000000000022,49.18000000000029,9.329999999999927,58.51000000000022,
9,2010-01-15,3472.52,3482.74,3500.07,3448.66,72543102,104035175785.0,1.48,0.39,13.69,0.24,2010-01-15,,,,,,,51.41000000000031,31.019999999999982,20.390000000000327,51.41000000000031,
