,date,RV,RV_weekly,RV_monthly,RV_2week
0,2010-01-04,0.0075515097128399,,,
1,2010-01-05,0.0180213320262564,,,
2,2010-01-06,0.0127188536492962,,,
3,2010-01-07,0.0197348262848705,,,
4,2010-01-08,0.0190272118491682,0.01541074670448624,,
5,2010-01-11,0.0177430736102807,0.017449059483974398,,
6,2010-01-12,0.016811059130112,0.01720700490474552,,
7,2010-01-13,0.0214137078538229,0.018945975745650857,,
8,2010-01-14,0.0111716926581561,0.01723334902030798,,
9,2010-01-15,0.0113206378151789,0.01569203421351012,,0.01555139045899818
10,2010-01-18,0.0062117963308661,0.013385778757627202,,0.015417419120800798
11,2010-01-19,0.0075060540137501,0.011524777734354818,,0.01436589131955017
12,2010-01-20,0.0224607423070903,0.0117341846250083,,0.01534008018532958
13,2010-01-21,0.0240634047761653,0.01431252704861014,,0.01577293803445906
14,2010-01-22,0.0395317545014521,0.019954750385864778,,0.01782339229968745
15,2010-01-25,0.0150393591877763,0.02172026295724682,,0.017553020857437006
16,2010-01-26,0.0339206895612418,0.027003190066745158,,0.019263983900549987
17,2010-01-27,0.028806438337098,0.0282723292727467,,0.020003256948877498
18,2010-01-28,0.0193864846918326,0.02733694525588016,,0.02082473615224515
19,2010-01-29,0.0180732567730201,0.023045245710193757,,0.02149999804802927
20,2010-02-01,0.0304204633127087,0.026121466535180236,,0.02392086474621353
21,2010-02-02,0.0161923620187276,0.0225758010266774,0.01896030501825958,0.02478949554671128
22,2010-02-03,0.0420675639552958,0.02522802615031696,0.02052921657473485,0.02675017771153183
23,2010-02-04,0.0149811966399192,0.02434696853993428,0.020391028602628616,0.02584195689790722
24,2010-02-05,0.0196999407641676,0.02467230533816378,0.020708350744213677,0.023858775524178772
25,2010-02-08,0.0137179620273791,0.02133180508109786,0.0204348569143277,0.02372663580813905
26,2010-02-09,0.0091861003410998,0.0199305527455723,0.019987533663960957,0.02125317688612485
27,2010-02-10,0.0039290618385237,0.01230285232221788,0.019359624037972003,0.01876543923626742
28,2010-02-11,0.0048601401531583,0.0102786410248657,0.018816400448110473,0.01731280478239999
29,2010-02-12,0.0019590682194365,0.00673046651591948,0.017932098646547455,0.01570138592704163
30,2010-02-22,0.0082275846157601,0.0056323910335956805,0.017798275553711274,0.01348209805734677
31,2010-02-23,0.0166079001675056,0.00711675099887684,0.018038605660635212,0.013523651872224571
32,2010-02-24,0.0105877758907271,0.00844849380931752,0.01823751382244708,0.0103756730657677
33,2010-02-25,0.0079692821950521,0.00907032221769628,0.018258569648869894,0.009674481621280989
34,2010-02-26,0.004878930226346,0.00965429461907818,0.017459396372472426,0.00819238056749883
35,2010-03-01,0.0037730968175607,0.0087633970594383,0.01653710964708131,0.007197894046516991
36,2010-03-02,0.00661355102895,0.00676452723172718,0.015040827671058486,0.006940639115302011
37,2010-03-03,0.0057494877736724,0.00579686960831624,0.014618560788599216,0.007122681708816881
38,2010-03-04,0.0154052660546343,0.00728406638023268,0.013776950629207968,0.00817719429896448
39,2010-03-05,0.0076848287548439,0.00784524608593226,0.012816877466378235,0.00874977035250522
40,2010-03-08,0.0046862863699997,0.00802788399642006,0.012148686633567652,0.008395640527929179
41,2010-03-09,0.0074879418011486,0.00820276215085978,0.011667535953028036,0.00748364469129348
42,2010-03-10,0.00800452701104,0.0086537699983333,0.01064862975749764,0.00722531980332477
43,2010-03-11,0.0113714410846956,0.00784700500434556,0.010429496987768913,0.007565535692289118
44,2010-03-12,0.0099409279438487,0.00829822484214652,0.008969195350884956,0.00807173546403939
45,2010-03-15,0.0121160687319066,0.009784181314527901,0.00883896226415711,0.00890603265547398
46,2010-03-16,0.008988756665689,0.01008434428743598,0.00835209025968081,0.009143553219147879
47,2010-03-17,0.0054617461029899,0.009575788105825959,0.007976807717663119,0.00911477905207963
48,2010-03-18,0.0056248569362883,0.0084264712761445,0.007814933017444415,0.00813673814024503
49,2010-03-19,0.0062023848742831,0.0076787626622313795,0.007918265882706206,0.00798849375218895
50,2010-03-22,0.0056459547664113,0.0063847398691323195,0.00795398472876316,0.008084460591830111
51,2010-03-23,0.0061872956389742,0.00582444766378936,0.008146176884196691,0.00795439597561267
52,2010-03-24,0.0033681390177293,0.00540572624673724,0.00792529299337711,0.007490757176281599
53,2010-03-25,0.0064532458802506,0.0055714040355297,0.007463717798501882,0.006998937655837099
54,2010-03-26,0.0074703491896803,0.00582499689860914,0.007322016584817936,0.00675187978042026
55,2010-03-29,0.0094210406830685,0.00658001408194058,0.0073880056070005,0.00648237697553645
56,2010-03-30,0.0047233408588551,0.006287223125916759,0.00738093336302364,0.00605583539485306
57,2010-03-31,0.0042964064865963,0.00647287661969016,0.007404720166161624,0.0059393014332137
58,2010-04-01,0.0036475323032162,0.00591173390428328,0.0072699011331737225,0.00574156896990649
59,2010-04-02,0.0046716918692984,0.0053520024402069,0.007220910410247632,0.00558849966940802
60,2010-04-06,0.00489643282367,0.0044470808683272,0.0067432361724765275,0.005513547475133889
61,2010-04-07,0.0044095338397909,0.00438431946451436,0.00659435913088321,0.00533577129521556
62,2010-04-08,0.0052220601954824,0.00456945020629158,0.0066187124865869675,0.005521163412990871
63,2010-04-09,0.0032260536430116,0.00448515447425066,0.006424990297580742,0.005198444189266969
64,2010-04-12,0.0054503835054345,0.0046408928014778795,0.006308892865507764,0.00499644762084239
65,2010-04-13,0.029681867475222,0.00959797973178828,0.0071411849741680545,0.00702253030005774
66,2010-04-14,0.0069768239690369,0.010111437757637481,0.007006452975312973,0.00724787861107592
