,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
21,2023-11-30,3496.2,3485.52,3505.13,3481.45,7.9,0.68,0.3309,0.003746914,0.003017019,0.002930574,3568.618,41.06136468109264,3650.7407293621854,3486.4952706378144,30.798349708646995,-0.02396944774794396,23.68000000000029,16.820000000000164,6.860000000000127,23.68000000000029,33.660714285714285
22,2023-12-01,3482.88,3494.22,3494.22,3452.17,-13.32,1.2,0.3543,0.005583163,0.003696515,0.003060834,3563.5550000000003,45.09176053805228,3653.738521076105,3473.3714789238957,30.002071680132588,-0.03447778778848154,42.04999999999973,1.9800000000000182,44.029999999999745,44.029999999999745,34.18999999999999
23,2023-12-04,3460.14,3481.04,3488.13,3459.61,-22.74,0.82,0.3172,0.002987241,0.003647644,0.003063999,3554.9315,47.611832151151944,3650.155164302304,3459.7078356976963,26.682986536107663,-0.03141340738335452,28.519999999999982,5.25,23.269999999999982,28.519999999999982,33.99357142857142
24,2023-12-05,3394.26,3450.09,3450.09,3393.81,-65.88,1.63,0.328,0.00531275,0.004013456,0.003127755,3543.6565,57.18894292053663,3658.0343858410733,3429.2786141589268,14.75192797802265,-0.04871260933782129,56.2800000000002,10.049999999999727,66.32999999999993,66.32999999999993,35.97857142857141
25,2023-12-06,3399.6,3387.88,3420.28,3382.95,5.34,1.1,0.3454,0.005494984,0.00462501,0.003173773,3533.083,63.292406553775365,3659.667813107551,3406.498186892449,18.310220852593574,-0.049413922691481815,37.33000000000038,26.019999999999982,11.3100000000004,37.33000000000038,36.152857142857165
26,2023-12-07,3391.28,3394.31,3404.41,3369.77,-8.32,1.02,0.319,0.004764754,0.004828578,0.003292281,3522.0055,67.82598962166237,3657.657479243325,3386.3535207566756,18.043454683489244,-0.052998126258352984,34.63999999999987,4.809999999999945,29.829999999999927,34.63999999999987,36.72357142857147
27,2023-12-08,3399.46,3391.86,3409.38,3383.45,8.18,0.76,0.4228,0.003381173,0.00438818,0.003264719,3512.654,71.27303700706518,3655.20007401413,3370.1079259858698,18.02270919216008,-0.040898087698410523,25.93000000000029,18.09999999999991,7.830000000000382,25.93000000000029,35.58500000000007
28,2023-12-11,3419.45,3378.05,3426.61,3346.89,19.99,2.35,0.4518,0.007159881,0.005222708,0.003407684,3504.656,72.3545118369121,3649.365023673824,3359.946976326176,22.304475975049485,-0.03989027156944236,79.72000000000025,27.15000000000009,52.570000000000164,79.72000000000025,38.46642857142865
29,2023-12-12,3426.8,3410.0,3427.55,3406.1,7.35,0.63,0.3416,0.00299068,0.004758294,0.003429941,3496.893,71.94048213261877,3640.7739642652377,3353.0120357347623,27.59448338921051,-0.03143292415793064,21.450000000000273,8.100000000000364,13.349999999999909,21.450000000000273,37.380714285714376
30,2023-12-13,3369.6,3418.64,3418.64,3369.6,-57.2,1.43,0.3083,0.002825838,0.004224465,0.003441648,3485.0105000000003,72.37846099169474,3629.76742198339,3340.253578016611,18.286073104633374,-0.04053030518744627,49.039999999999964,8.16000000000031,57.20000000000027,57.20000000000027,39.17142857142868
